repo_name,stars,forks
weigertlab/muvit,47,7
kuenzelab/pHoptNN,4,0
ScaDS/bijuty,2,0
ScaDS/eosc-ssds-2026,1,0
ScaDS/ResAI,1,0
faerber-lab/SemRepo,22,5
faerber-lab/CheckThat2026,1,0
Knowledge-aware-AI/KAAI-Templates,1,0
fl0fischer/sim2vr,18,4
User-in-the-Box/user-in-the-box,54,18
floroh/pprl-goodall,0,1
floroh/pprl-services,0,0
fl0fischer/sim2vr,18,4
abauske/YouShallNotPass,0,0
MyoInteract/MyoInteract,8,1
marco-jaeger/drift,3,0
ScaDS/bioimage-VR,2,0
faerber-lab/klartext,3,1
weigertlab/routing-pyramids,4,1
JohannaZitt/CryoDASDenoising,6,1
miriamcarnot/MapAnything,1,0
miriamcarnot/generative-car-anonymization,2,0
miriamcarnot/3d-clearance-control,0,0
miriamcarnot/clear_height_pandaset,1,0
LUK4S-B/IsUMap,24,5
Discrete-Curvature/curvature,0,0
haesleinhuepf/letter-ai,1,0
haesleinhuepf/pdf2gif,2,0
