url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/records/17541532,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Haase, Robert""",94,40,54,44,94,40,44,54
https://zenodo.org/records/17478160,"""Haase, Robert""",6,2,15,10,6,2,10,15
https://zenodo.org/records/17422917,"""Haase, Robert""",157,103,91,85,157,103,85,91
https://zenodo.org/records/17240205,"""Umlauft, Josefine""",42,32,10,10,42,32,10,10
https://zenodo.org/records/17203260,"""Haase, Robert""",176,134,61,56,94,69,33,35
https://zenodo.org/records/17186869,"""Haase, Robert""",188,142,167,164,115,86,88,88
https://zenodo.org/records/17158770,"""Schott, Philipp and Wolf, Gregor and Welz, Oliver""",6,6,102,94,6,6,94,102
https://zenodo.org/records/17158643,"""Welz, Oliver""",95,60,100,92,95,60,92,100
https://zenodo.org/records/17130780,"""Berger, Mike and TÃ¤schner, Matthias and Voigt, Pia""",77,71,61,60,77,71,60,61
https://zenodo.org/records/17116758,"""Haase, Robert""",323,280,675,649,323,280,649,675
https://zenodo.org/records/17093197,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and GÃ¶tze, Luisa""",267,211,343,329,267,211,329,343
https://zenodo.org/records/17102027,"""Haase, Robert""",212,130,145,132,212,130,132,145
https://zenodo.org/records/17085991,"""Haase, Robert""",469,333,420,386,300,199,293,326
https://zenodo.org/records/17053832,"""Haase, Robert""",187,110,109,103,187,110,103,109
https://zenodo.org/records/17017890,"""Haase, Robert""",77,62,26,24,77,62,24,26
https://zenodo.org/records/16894343,"""Haase, Robert""",79,52,75,64,79,52,64,75
https://zenodo.org/records/15858127,"""Haase, Robert""",7171,6636,1209,1094,1430,1273,520,608
https://zenodo.org/records/15805148,"""Center for Scalable Data Analytics and Artificial Intelligence and Oliver, Welz""",108,84,119,106,108,84,106,119
https://zenodo.org/records/15735577,"""Haase, Robert""",592,414,704,622,592,414,622,704
https://zenodo.org/records/15706181,"""Haase, Robert""",450,378,193,180,294,236,130,139
https://zenodo.org/records/15699459,"""Haase, Robert""",414,354,330,320,288,244,201,206
https://zenodo.org/records/15654889,"""Taeschner, Matthias and Haase, Robert""",223,177,182,172,223,177,172,182
https://zenodo.org/records/15646539,"""Haase, Robert""",343,261,185,173,313,233,153,164
https://zenodo.org/records/15516022,"""Haase, Robert""",1073,1000,211,200,739,685,169,178
