url,authors,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_unique_views,version_views
https://zenodo.org/records/17541532,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Haase, Robert""",301,227,346,316,301,227,316,346
https://zenodo.org/records/17478160,"""Haase, Robert""",11,7,154,144,11,7,144,154
https://zenodo.org/records/17422917,"""Haase, Robert""",304,247,397,389,304,247,389,397
https://zenodo.org/records/17240205,"""Umlauft, Josefine""",388,378,111,101,388,378,101,111
https://zenodo.org/records/17203260,"""Haase, Robert""",538,476,437,420,336,298,378,392
https://zenodo.org/records/17186869,"""Haase, Robert""",497,433,653,644,379,332,528,534
https://zenodo.org/records/17158770,"""Schott, Philipp and Wolf, Gregor and Welz, Oliver""",29,29,235,220,29,29,220,235
https://zenodo.org/records/17158643,"""Welz, Oliver""",153,113,214,204,153,113,204,214
https://zenodo.org/records/17130780,"""Berger, Mike and Täschner, Matthias and Voigt, Pia""",224,204,175,168,224,204,168,175
https://zenodo.org/records/17116758,"""Haase, Robert""",473,415,942,911,473,415,911,942
https://zenodo.org/records/17093197,"""Kabjesz, Lea and Gihlein, Lea and Lampert, Mara Harriet and Götze, Luisa""",700,617,586,567,700,617,567,586
https://zenodo.org/records/17102027,"""Haase, Robert""",330,244,251,238,330,244,238,251
https://zenodo.org/records/17085991,"""Haase, Robert""",978,823,968,918,566,450,691,739
https://zenodo.org/records/17053832,"""Haase, Robert""",345,250,415,408,345,250,408,415
https://zenodo.org/records/17017890,"""Haase, Robert""",180,160,267,263,180,160,263,267
https://zenodo.org/records/16894343,"""Haase, Robert""",130,103,158,145,130,103,145,158
https://zenodo.org/records/15858127,"""Haase, Robert""",15396,14500,2573,2430,3911,3637,1023,1127
https://zenodo.org/records/15805268,"""Philipp, Schott and Gregor, Wolf and Oliver, Welz""",144,142,295,274,143,141,271,289
https://zenodo.org/records/15805148,"""Center for Scalable Data Analytics and Artificial Intelligence and Oliver, Welz""",256,228,189,174,256,228,174,189
https://zenodo.org/records/15735577,"""Haase, Robert""",804,617,917,833,804,617,833,917
https://zenodo.org/records/15706181,"""Haase, Robert""",789,706,463,441,505,437,329,347
https://zenodo.org/records/15699459,"""Haase, Robert""",1185,1088,729,697,980,901,535,560
https://zenodo.org/records/15654889,"""Taeschner, Matthias and Haase, Robert""",403,352,378,365,403,352,365,378
https://zenodo.org/records/15646539,"""Haase, Robert""",563,475,353,337,488,402,298,312
https://zenodo.org/records/15516022,"""Haase, Robert""",2193,2069,534,512,1696,1593,436,456
https://zenodo.org/records/17669681,"""Haase, Robert""",191,172,275,260,191,172,260,275
https://zenodo.org/records/17163932,"""Achkar, Pierre and Gollub, Tim and Potthast, Martin""",410,376,602,546,410,376,546,602
https://zenodo.org/records/16890132,"""Schröder, Christopher and Müller, Lydia and Niekler, Andreas and Potthast, Martin""",1039,1028,4217,4070,61,57,813,854
https://zenodo.org/records/15347992,"""Heineking, Sebastian and Zelch, Ines and Potthast, Martin and Hagen, Matthias""",2641,2583,1912,1789,910,901,720,769
https://zenodo.org/records/15270283,"""Heineking, Sebastian and Zelch, Ines and Bevendorff, Janek and Stein, Benno and Hagen, Matthias and Potthast, Martin""",4932,4782,2564,2175,2887,2851,823,1080
https://zenodo.org/records/13860524,"""Gienapp, Lukas and Potthast, Martin and Wachsmuth, Henning and Hagen, Matthias and Fröbe, Maik and Bondarenko, Alexander and Ajjour, Yamen and Stein, Benno""",5958,4826,1055,1020,892,887,333,345
https://zenodo.org/records/11203881,"""Deckers, Niklas and Peters, Julia and Potthast, Martin""",164,115,650,604,133,84,408,438
https://zenodo.org/records/10628882,"""Akiki, Christopher and Barschel, Hanno and Elstner, Theresa and Fleisch, Till and Franke, Johannes and Fröbe, Maik and Gienapp, Lukas and Gründel, Marlene and Hagen, Matthias and Kucera, Paul and Marschner, Paul and Niederhausen, Tim and Potthast, Martin and Reimer, Jan Heinrich and Scells, Harrisen and Stein, Benno and Weber, Malte and Wild, Dominic""",31847,22823,140,133,31847,22823,133,140
https://zenodo.org/records/10628640,"""Scells, Harrisen and Elstner, Theresa and Fröbe, Maik and Akiki, Christopher and Gienapp, Lukas and Reimer, Jan Heinrich and Hagen, Matthias and Potthast, Martin""",13442,6118,191,188,13442,6118,188,191
https://zenodo.org/records/10036479,"""Wolska, Magdalena and Wiegmann, Matti and Schröder, Christopher and Borchardt, Ole and Stein, Benno and Potthast, Martin""",115,108,569,554,115,108,554,569
https://zenodo.org/records/8383863,"""Matti Wiegmann and Magdalena Wolska and Christopher Schröder and Ole Borchardt and Benno Stein and Martin Potthast""",379,245,1449,1225,58,56,347,382
https://zenodo.org/records/7976807,"""Wiegmann and Wolska and Schröder and Borchardt and Stein and Potthast""",209,179,714,641,207,177,635,708
https://zenodo.org/records/7525482,"""Niklas Deckers and Maik Fröbe and Johannes Kiesel and Gianluca Pandolfo and Christopher Schröder and Benno Stein and Martin Potthast""",330,292,266,254,240,211,176,183
https://zenodo.org/records/6873575,"""Kiesel, Johannes and Potthast, Martin and Stein, Benno""",8172,6661,1575,1505,6536,5122,903,956
